LinkID,UserID,MovieID,timestamp,rating
1,1,1,1112486027,3.5
2,2,2,1112484676,3.5
3,3,3,1112484819,3.5
4,4,4,1112484727,3.5
5,5,5,1112484580,3.5
6,6,6,1094785740,3.5
7,7,7,1094785734,4
8,8,8,1112485573,4
9,9,9,1112484940,4
10,10,10,1112484826,4
11,11,11,1112484703,4
12,12,12,1112484767,4
13,13,13,1112484798,4
14,14,14,1094785709,3.5
15,15,15,1112485980,3.5
16,16,16,1112484603,4
17,17,17,1112485557,3.5
18,18,18,1112484661,3.5
19,19,19,1094785691,3
20,20,20,1094785621,3.5
21,21,21,1094785598,3.5
22,22,22,1112486013,3.5
23,23,23,1112485480,4
24,24,24,1094785665,4
25,25,25,1112485375,3.5
26,26,26,1112484669,3.5
27,27,27,1112485453,4
28,28,28,1112485701,4
29,29,29,1112484609,3.5
30,30,30,1112484690,3.5
31,31,31,1112484742,4.5
32,32,32,1112484624,4.5
33,33,33,1112484560,4
34,34,34,1112484642,3
35,35,35,1112484815,3.5
36,36,36,1094785977,4
37,37,37,1094786082,4
38,38,38,1112484810,3.5
39,39,39,1094785994,4
40,40,40,1112484637,3.5
41,41,41,1112485401,4
42,42,42,1112485567,3
43,43,43,1094785759,3.5
44,44,44,1112485382,4
45,45,45,1094785994,4
46,46,46,1112485440,4
47,47,47,1094786113,3.5
48,48,48,1112484735,3.5
49,49,49,1112485371,4
50,50,50,1094785986,4
51,51,51,1112485525,3.5
52,52,52,1094785720,3
53,53,53,1094786062,4
54,54,54,1112484990,4
55,55,55,1094786056,3.5
56,56,56,1094786158,3.5
57,57,57,1112485419,4
58,58,58,1094785764,3
59,59,59,1094785746,4
60,60,60,1112484913,4
61,61,61,1112486150,3
62,62,62,1094785656,3.5
63,63,63,1112486201,3.5
64,64,64,1112486032,3.5
65,65,65,1112486098,3.5
66,66,66,1112485739,4
67,67,67,1094786087,3.5
68,68,68,1094786034,3.5
69,69,69,1112485929,4
70,70,70,1112485955,4
71,71,71,1094786092,4
72,72,72,1112485789,4
73,73,73,1112485705,4
74,74,74,1112485951,4
75,75,75,1112485887,4
76,76,76,1112485843,4
77,77,77,1112485753,4
78,78,78,1112485486,3.5
79,79,79,1112486122,3.5
80,80,80,1094786077,4
81,81,81,1094785777,4
82,82,82,1112485447,4
83,83,83,1112485988,4
84,84,84,1112484994,3.5
85,85,85,1094786017,3.5
86,86,86,1094786148,3.5
87,87,87,1094785650,3.5
88,88,88,1112484749,3.5
89,89,89,1094786012,3.5
90,90,90,1112484759,3
91,91,91,1112485367,4
92,92,92,1112485414,3.5
93,93,93,1112485697,4
94,94,94,1112485465,3.5
95,95,95,1112485433,4
96,96,96,1112485580,3.5
97,97,97,1094785698,4
98,98,98,1112485825,4
99,99,99,1112484569,3.5
100,100,100,1112484548,3
101,101,101,1112485563,3.5
102,102,102,1094786143,4
103,103,103,1112485816,4
104,104,104,1112484525,3.5
105,105,105,1112486094,3.5
106,106,106,1094786139,3.5
107,107,107,1112485734,4
108,108,108,1112486024,4
109,109,109,1112484918,4
110,110,110,1112486138,4
111,111,111,1094786172,3
112,112,112,1094785727,4
113,113,113,1112486192,3.5
114,114,114,1112485406,4
115,115,115,1112485460,4
116,116,116,1094786104,3.5
117,117,117,1112484933,4
118,118,118,1112486169,3
119,119,119,1112484493,3.5
120,120,120,1094785784,4
121,121,121,1112485970,3.5
122,122,122,1112485822,4
123,123,123,1112485880,4
124,124,124,1094786008,3.5
125,125,125,1112484983,4
126,126,126,1112484537,3.5
127,127,127,1112485731,4
128,128,128,1112485961,4
129,129,129,1112486076,3
130,130,130,1112486007,3.5
131,131,131,1112486055,3.5
132,132,132,1112484682,5
133,133,133,1112485858,4
134,134,134,1112485898,4
135,135,135,1112486086,3
136,136,136,1094786132,3.5
137,137,137,1112486104,4
138,138,138,1112485905,4
139,139,139,1094786108,3.5
140,140,140,1112485871,4
141,141,141,1112485720,4
142,142,142,1112486002,3.5
143,143,143,1112484619,5
144,144,144,1112486150,3.5
145,145,145,1112485713,4
146,146,146,1094786004,3.5
147,147,147,1112485502,4
148,148,148,1094786048,3.5
149,149,149,1112485508,4
150,150,150,1112485984,4
151,151,151,1094786067,3.5
152,152,152,1112485786,4
153,153,153,1112484686,3.5
154,154,154,1112486060,3.5
155,155,155,1112486127,3
156,156,156,1094786101,3.5
157,157,157,1112485834,3.5
158,158,158,1112485934,4
159,159,159,1112484633,5
160,160,160,1112485923,3.5
161,161,161,1112485958,3.5
162,162,162,1094786161,3.5
163,163,163,1112486045,4
164,164,164,1112484789,4
165,165,165,1112486163,3.5
166,166,166,1112486108,4
167,167,167,1112484575,3
168,168,168,1112485819,4
169,169,169,1112485688,4
170,170,170,1112485781,3.5
171,171,171,1094786027,5
172,172,172,1112485493,4.5
173,173,173,1112484795,3.5
174,174,174,1112485629,4
175,175,175,1112485748,4
176,176,176,974820889,4
177,177,177,974820598,5
178,178,178,974820691,5
179,179,179,974820658,4
180,180,180,974820776,3
181,181,181,974821014,5
182,182,182,974820748,5
183,183,183,974820598,3
184,184,184,974820720,5
185,185,185,974821014,5
186,186,186,974820658,5
187,187,187,974820969,2
188,188,188,974820691,4
189,189,189,974821014,5
190,190,190,974820598,3
191,191,191,974821014,5
192,192,192,974820598,5
193,193,193,974821014,5
194,194,194,974820691,5
195,195,195,974820659,5
196,196,196,974821014,5
197,197,197,974820846,5
198,198,198,974820598,5
199,199,199,974820943,5
200,200,200,974820748,4
201,201,201,974820776,4
202,202,202,974821014,5
203,203,203,974820720,3
204,204,204,974820969,2
205,205,205,974820969,2
206,206,206,974820943,2
207,207,207,974820969,2
208,208,208,974820916,3
209,209,209,974820598,5
210,210,210,974820969,2
211,211,211,974820748,2
212,212,212,974820916,4
213,213,213,974820720,4
